"","id","hhid","prov","male","age","marriage","edu","work","industry","insurance","rural","t_income","total_asset","t_asset","net_asset","fina_asset","risk_aver_a","finknow_int_a","finknow_inf_a","finknow_risk_a"
"37","2013008011_1","2013008011","上海市",0,31,0,5,1,12,1,0,12.6409023622682,4389427,15.2947092526144,15.2947092526144,689927.0625,3,0,1,0
"38","2013008014_2","2013008014","上海市",0,64,1,6,0,0,1,0,12.6209929124091,13116726,16.3893987676563,16.3893987676563,1097825.75,5,1,2,0
"39","2013008017_2","2013008017","上海市",1,88,1,4,0,0,1,0,11.4295438560312,6024083,15.6112758265874,15.6112758265874,23433,5,1,1,0
"40","2013008018_1","2013008018","上海市",0,59,1,3,0,0,1,0,11.6952470217642,653183.5625,13.3896134751874,13.3896134751874,454183.5625,3,0,1,0
"41","2013008024_3","2013008024","上海市",1,36,0,7,1,2,1,0,13.0418428889451,8283319.5,15.9297543518173,15.9297543518173,566319.625,3,1,1,2
"42","2013008026_1","2013008026","上海市",0,70,1,7,0,0,1,0,12.0749640298955,6296568,15.6555152810203,15.6555152810203,276567.90625,5,0,1,2
"43","2013008040_1","2013008040","上海市",0,81,1,5,0,0,1,0,11.7339387488752,5675900,15.551739699066,15.551739699066,160000,5,1,2,0
"44","2013008041_1","2013008041","上海市",1,66,1,7,0,0,1,0,11.305544528335,5425339.5,15.5065910360779,15.5065910360779,421539.375,5,1,1,0
"45","2013008044_1","2013008044","上海市",0,80,0,3,0,0,1,0,10.7675990713969,4160368,15.2411140898634,15.2411140898634,156268,5,2,1,0
"46","2013008046_2","2013008046","上海市",0,78,1,5,0,0,1,0,12.0047884285689,3388500,15.0358979035583,15.0358979035583,375000,5,0,0,1
"47","2013008049_2","2013008049","上海市",1,86,1,7,0,0,1,0,11.9118799456982,14530841,16.4917839141192,16.4917839141192,976641,4,1,1,0
"48","2013008050_2","2013008050","上海市",0,55,1,4,0,0,1,0,12.0348037820616,2459210,14.7153507181212,14.7153507181212,59205,5,2,1,0
"49","2013008071_1","2013008071","上海市",1,35,1,7,1,2,1,0,12.6544631344898,6209595,15.6416062343916,15.4563686460053,609995,4,1,1,0
"50","2013008075_1","2013008075","上海市",1,75,1,3,0,0,1,0,11.1844213979982,1977906,14.4975492672853,14.4975492672853,0,5,2,2,0
"51","2013008082_1","2013008082","上海市",1,49,0,5,1,2,1,0,11.1459115432363,3948283,15.1887913588307,15.1887913588307,244933,5,1,1,2
"52","2013008083_1","2013008083","上海市",1,59,1,4,1,10,1,0,10.5000157381824,348746.0625,12.7620993217314,12.7620993217314,340146.0625,5,0,2,1
"53","2013008094_1","2013008094","上海市",0,72,1,3,0,0,1,0,11.5991031612113,280500,12.5443290039449,12.5299660999445,253000,4,0,1,1
"54","2013008097_1","2013008097","上海市",1,59,1,7,0,0,1,0,8.56178407474411,9000808,16.0128249090485,16.0128249090485,998928,5,2,1,0
"55","2013008102_1","2013008102","上海市",0,69,1,6,0,0,1,0,12.2902988976577,9142654,16.0284612732718,16.0284612732718,540054,4,0,1,1
"56","2013008111_1","2013008111","上海市",0,41,1,8,1,11,1,0,10.4820652783529,12555076,16.3456356039207,16.3049963740155,4990526,4,1,1,1
"57","2013008127_1","2013008127","上海市",1,64,1,4,0,0,1,0,11.6287564577411,5552386.5,15.5297383932991,15.5297383932991,480686.3125,4,1,1,1
"58","2013008134_2","2013008134","上海市",1,45,1,5,0,0,1,0,10.571643794761,4068855,15.2188721910576,15.2188721910576,39555,4,1,1,0
"59","2013008143_3","2013008143","上海市",0,61,1,4,0,0,1,0,12.0806738081357,3254847,14.9956558279118,14.9956558279118,546437,3,0,1,0
"60","2013008148_1","2013008148","上海市",1,66,1,6,0,0,1,0,12.2599664307086,4215101,15.2541841111713,15.2541841111713,1148101,3,0,0,0
"61","2013008152_1","2013008152","上海市",0,48,1,4,1,6,1,0,11.8335586375617,4162405,15.2416035901876,15.2416035901876,582665,4,2,0,0
"62","2013008153_1","2013008153","上海市",1,74,1,3,0,0,1,0,11.4469726108017,3713750,15.127552705759,15.127552705759,7800,5,2,1,0
"63","2013008158_1","2013008158","上海市",1,30,1,7,1,3,1,0,12.1180880678616,6361332,15.6657483473503,15.6657483473503,124832,4,1,1,1
"64","2013008161_3","2013008161","上海市",0,47,1,4,1,13,1,0,12.3036983243146,13447473,16.4143017653194,16.4143017653194,2252021,4,0,2,1
"65","2013008169_1","2013008169","上海市",1,68,1,5,0,0,1,0,11.7535159298882,5062300,15.4373314834437,15.4373314834437,5000,3,1,1,0
"66","2013008206_1","2013008206","上海市",1,62,1,3,0,0,1,0,11.5947634831859,4550878,15.3308307393444,15.3308307393444,917878.0625,4,1,1,1
"67","2013008220_2","2013008220","上海市",0,55,1,6,1,7,1,0,11.4983758336877,3900742,15.1766773494137,15.1766773494137,862842,5,2,2,2
"68","2013008221_1","2013008221","上海市",1,63,1,3,0,0,1,0,12.8744352092675,3088359,14.9431504398462,14.9431504398462,1008703.9375,4,0,1,1
"69","2013008223_1","2013008223","上海市",0,64,1,3,0,0,1,0,10.8413440623248,2565975,14.7578490813199,14.7578490813199,45500,5,0,1,0
"70","2013008224_2","2013008224","上海市",0,65,1,3,0,0,1,0,11.8939407643421,5323815,15.4877007095839,15.4877007095839,672815,3,2,2,2
"71","2013008228_2","2013008228","上海市",1,68,1,3,0,0,1,0,11.5812381051523,1802910,14.4049125841342,14.4049125841342,38000,4,1,1,1
"72","2013008232_1","2013008232","上海市",0,74,1,3,0,0,1,0,11.6667189381496,3187204,14.9746546013917,14.9746546013917,635750,5,0,1,0
"73","2013008233_2","2013008233","上海市",1,72,1,3,0,0,1,0,11.7115811202382,1837530,14.4239328364665,14.4239328364665,70253,5,2,0,0
"74","2013008235_1","2013008235","上海市",0,66,1,4,0,0,1,0,11.5991031612113,2452986.25,14.7128167178438,14.7128167178438,34644.2109375,5,2,2,0
"75","2013008237_21","2013008237","上海市",0,63,1,3,0,0,1,0,11.527814077464,2578448.75,14.7626985163788,14.7626985163788,573798.75,4,1,1,1
"76","2013008240_2","2013008240","上海市",1,63,1,6,0,0,1,0,12.6698035171033,4342605,15.2839849564251,15.2839849564251,835854.8125,3,2,2,0
"77","2013008242_1","2013008242","上海市",0,60,1,3,0,0,1,0,-10.7624669176972,2333500,14.662879844372,14.662879844372,580500,5,2,2,1
"78","2013008243_1","2013008243","上海市",0,61,1,4,0,0,1,0,11.4627578525544,1617085,14.2961357036588,14.2961357036588,7685,3,2,1,0
"79","2013008246_2","2013008246","上海市",1,70,1,3,0,0,1,0,11.4602628123869,3096423.75,14.9457583744809,14.9457583744809,95153.6796875,5,2,2,0
"80","2013008251_1","2013008251","上海市",1,65,1,2,0,0,1,0,12.2428866186529,2733702,14.8211672925199,14.8211672925199,339301,5,0,1,0
"81","2013008253_2","2013008253","上海市",1,71,1,4,0,0,1,0,6.82979373751242,2651860,14.7907718385475,14.7907718385475,103000,3,1,2,0
"82","2013008254_1","2013008254","上海市",0,64,1,3,0,0,1,0,10.7440162647855,2120962.25,14.56738043518,14.56738043518,111262.3125,5,2,2,0
"83","2013008256_2","2013008256","上海市",1,85,1,3,0,0,1,0,9.94030152565884,3700208,15.1238995922506,15.1238995922506,170803,5,1,2,1
"84","2013008257_1","2013008257","上海市",0,68,0,2,0,0,1,0,11.0020998412042,2408751,14.6946189138637,14.6946189138637,1000,5,2,2,0
"85","2013008258_1","2013008258","上海市",0,72,1,4,0,0,1,0,11.5028751291167,13201,9.48804786328076,9.48804786328076,0,5,2,0,0
"86","2013008262_2","2013008262","上海市",1,71,1,5,0,0,1,0,11.7250646901734,6041939,15.6142355448831,15.6142355448831,557739.25,4,1,1,2
"87","2013008264_2","2013008264","上海市",1,63,1,4,0,0,1,0,12.7951834333944,8507570,15.9564669133574,15.9564669133574,470070.0625,4,2,1,1
"88","2013008267_21","2013008267","上海市",0,60,1,4,0,0,1,0,11.5334141313975,5377597,15.4977521780831,15.4977521780831,372196.84375,5,2,2,0
"89","2013008279_22","2013008279","上海市",0,50,1,6,1,12,1,0,12.5880166212637,11116002,16.2238962497653,16.2238962497653,949202,2,0,1,1
"90","2013008280_1","2013008280","上海市",0,56,1,4,1,12,1,0,12.4355958038084,2339459,14.6654302640226,14.6654302640226,530908.875,5,1,1,1
"91","2013008281_1","2013008281","上海市",1,83,1,4,0,0,1,0,11.7344677349175,2012200,14.5147392088401,14.5147392088401,0,5,0,1,0
"92","2013008302_1","2013008302","上海市",1,80,1,3,0,0,1,0,11.2909123291831,747566,13.5245778746636,13.5245778746636,746606,5,0,0,1
"93","2013008327_2","2013008327","上海市",0,61,1,3,0,0,1,0,11.5868912841636,3554966.5,15.0838561978277,15.0838561978277,552791.5,3,1,1,0
"94","2013008331_1","2013008331","上海市",0,67,1,3,0,0,1,0,11.5531168607049,2570100,14.7594553666202,14.7594553666202,58000,5,2,2,0
"95","2013008334_1","2013008334","上海市",0,59,0,3,0,0,1,0,9.65502619323763,3005441,14.9159348705916,14.9159348705916,25724,5,2,2,2
"96","2013008339_1","2013008339","上海市",0,77,1,3,0,0,1,0,11.4208101760624,8654,9.06577692078483,9.06577692078483,2000,5,0,1,0
"97","2013008341_2","2013008341","上海市",1,35,1,3,1,0,1,0,11.5129254649702,855741,13.6597230392469,13.6597230392469,151682,5,2,2,0
"98","2013008342_1","2013008342","上海市",0,46,1,4,1,7,1,0,11.80335376309,142519,11.8672306031361,11.8672306031361,124419,5,2,2,0
"99","2013008353_1","2013008353","上海市",0,85,1,6,0,0,1,0,11.6019634588588,8415343,15.945567145323,15.945567145323,389843,5,0,1,0
"100","2013008367_1","2013008367","上海市",0,58,1,4,0,0,1,0,12.0973732286068,4070138.5,15.2191875863238,15.2191875863238,993088.625,3,1,1,1
"101","2013008370_1","2013008370","上海市",0,70,1,3,0,0,1,0,11.47210347045,3009489,14.9172808548711,14.9172808548711,6833,5,1,1,0
"102","2013008371_1","2013008371","上海市",0,70,1,3,0,0,1,0,11.5375205118256,2133300,14.5731806345397,14.5731806345397,35075,5,2,2,0
"103","2013008372_21","2013008372","上海市",1,59,1,7,1,0,1,0,11.1733004353914,14090633,16.4610208083448,16.4610208083448,1200433,3,0,1,0
"104","2013008377_1","2013008377","上海市",0,78,1,2,0,0,1,0,11.5931220069645,3102150,14.9476059774489,14.9476059774489,210700,5,0,1,1
"105","2013008383_1","2013008383","上海市",0,75,1,4,0,0,1,0,11.6843714296555,6360800,15.6656647135694,15.6656647135694,689000,5,1,1,1
"106","2013008384_1","2013008384","上海市",0,77,0,7,0,0,1,0,10.9524718261357,5178100,15.459948751583,15.459948751583,525000,3,1,1,1
"107","2013008386_1","2013008386","上海市",0,84,0,1,0,0,1,0,11.1418617835794,2013474,14.5153721463519,14.5153721463519,6924,5,2,2,0
"108","2013008393_2","2013008393","上海市",0,82,1,3,0,0,1,0,11.5159708231562,1267750,14.0527542336573,14.0527542336573,62750,5,0,1,0
"109","2013008395_1","2013008395","上海市",1,68,1,4,0,0,1,0,11.9997401187747,2195296,14.6018274473359,14.6018274473359,342488.0625,5,1,1,0
"110","2013008398_2","2013008398","上海市",1,64,1,3,0,0,1,0,11.7978235877026,8831516,15.9938372452728,15.9938372452728,761335.625,5,1,1,1
"111","2013008417_1","2013008417","上海市",1,54,0,4,1,12,1,0,-13.3459860139389,236848,12.3751738641533,12.3751738641533,233778,5,0,1,1
"112","2013008420_1","2013008420","上海市",0,64,1,4,0,0,1,0,10.2109722522841,14700,9.59560277276683,9.59560277276683,1000,5,2,2,0
"113","2013008422_1","2013008422","上海市",1,66,1,3,0,0,1,0,11.680902969304,2088005,14.5517196226178,14.5517196226178,239005.03125,4,1,1,1
"114","2013008423_1","2013008423","上海市",0,58,1,4,0,0,1,0,12.2976485890174,7363100,15.8119915976792,15.8119915976792,2807000,3,1,1,0
"115","2013008424_2","2013008424","上海市",1,81,1,2,0,0,1,0,11.4814347978789,2834982,14.8575461459175,14.8575461459175,306432,3,0,2,2
"116","2013008425_1","2013008425","上海市",0,36,1,7,1,13,1,0,11.9574221657854,3321508,15.0159294546349,14.8978267841454,147808,5,1,1,2
"117","2013008428_2","2013008428","上海市",1,36,1,7,1,2,1,0,12.327198975035,2232589,14.6186724565597,14.2306546729919,225639,3,2,1,1
"118","2013008433_1","2013008433","上海市",1,71,1,5,0,0,1,0,11.1617354512621,1770869.5,14.3869812268676,14.3869812268676,61069.515625,5,0,1,0
"119","2013008434_1","2013008434","上海市",1,69,1,4,0,0,1,0,11.7202938018128,3565948.75,15.0869407054567,15.0869407054567,532448.75,5,1,1,0
"120","2013008439_2","2013008439","上海市",1,70,1,5,0,0,1,0,11.5327280922664,2416075,14.6976548806014,14.6976548806014,693075,5,2,0,2
"121","2013008444_1","2013008444","上海市",1,62,0,4,0,0,1,0,-10.5322295364037,3420500,15.0452972971832,15.0452972971832,281500,4,0,2,1
"122","2013008450_2","2013008450","上海市",0,44,1,2,1,2,1,0,11.1866238319701,3195100,14.9771289442085,14.9771289442085,164950,4,1,1,0
"123","2013008466_2","2013008466","上海市",1,69,1,5,0,0,1,0,12.5394042412119,7907325,15.8833001030287,15.8043878276821,770324.75,5,1,1,1
"124","2013008468_21","2013008468","上海市",0,67,1,6,0,0,1,0,11.0167121557816,3899040.25,15.1762409910712,15.1757279127253,389860.3125,4,1,1,1
"125","2013008472_2","2013008472","上海市",0,56,1,5,0,0,1,0,10.7558795585601,2998571,14.9136463998163,14.9136463998163,408410.875,5,2,2,2
"126","2013008476_1","2013008476","上海市",1,71,1,6,0,0,1,0,11.6417143798031,7264735,15.7985423780652,15.7985423780652,3506565,3,1,1,1
"127","2013008477_2","2013008477","上海市",1,65,1,4,0,0,1,0,11.6294410310596,3304539.25,15.0108076115646,15.0108076115646,276539.3125,4,2,2,0
"128","2013008478_2","2013008478","上海市",1,66,1,6,0,0,1,0,11.565574691229,5506304.5,15.521404266461,15.521404266461,970104.375,4,1,1,0
"129","2013008484_1","2013008484","上海市",1,60,1,3,1,12,1,0,11.709355362766,2775606.25,14.8363797497704,14.8363797497704,910706.1875,4,1,1,1
"130","2013008485_2","2013008485","上海市",1,37,1,4,1,12,1,0,12.1479621701676,3114177.25,14.9514755501158,14.9514755501158,94027.203125,5,0,1,0
"131","2013008486_2","2013008486","上海市",1,65,1,3,0,0,1,0,11.6306291224763,3001831.25,14.9147330770706,14.9147330770706,505836.25,5,0,0,0
"132","2013008491_2","2013008491","上海市",1,37,1,7,1,2,1,0,12.0719696610067,1530100,14.2408436507099,14.2408436507099,510100,3,1,1,1
"133","2013008494_2","2013008494","上海市",1,59,1,4,1,2,1,0,12.0774179140693,2895543.25,14.8786833025076,14.8786833025076,824723.1875,5,2,1,0
"134","2013008496_1","2013008496","上海市",1,65,1,3,1,0,1,0,11.4735087326064,6625499,15.7064362477548,15.7064362477548,1104599.25,4,1,1,0
"135","2013008499_1","2013008499","上海市",0,61,1,3,0,0,1,0,11.6303751117254,6131589,15.6289644912872,15.6289644912872,582019,5,2,1,0
"136","2013008500_1","2013008500","上海市",0,56,1,4,0,0,1,0,11.2797315778025,337119.25,12.7281920043084,12.7281920043084,320819.25,1,2,1,0
"137","2013008502_1","2013008502","上海市",0,69,1,3,0,0,1,0,11.655184287544,198020,12.1961233146765,12.1961233146765,163000,5,1,1,1
"138","2013008507_2","2013008507","上海市",1,59,1,4,0,0,1,0,11.7714554649547,5829010.5,15.5783578183642,15.5783578183642,784960.3125,4,0,1,0
"139","2013008510_1","2013008510","上海市",0,59,1,4,0,0,1,0,12.8995947557952,9031681,16.0162490653217,16.0162490653217,1074581.125,4,2,1,0
"140","2013008511_1","2013008511","上海市",0,65,1,3,0,0,1,0,11.6180509530112,3148679,14.9624935577643,14.9624935577643,88229,5,1,2,0
"141","2013008516_1","2013008516","上海市",0,65,1,5,0,0,1,0,14.7790691530383,5648600,15.5469182848076,15.5469182848076,1632000,5,0,0,2
"142","2013008518_2","2013008518","上海市",1,61,1,3,1,8,1,0,12.0916769912141,636283.25,13.3633991048134,13.3633991048134,565133.25,4,2,1,0
